Analytical Method,,,,Euler's Method,,,,,MIDPOINT METHOD,,,,,RK METHOD
time (s), height (m),, time (s),,HEIGHT (m),,,time (s),,HEIGHT (m),, ,time (s),,HEIGHT (m) 
,,,, h=0.1, h=0.01, h=0.001,,,h=0.1, h=0.01, h=0.001,,,h=0.1, h=0.01, h=0.001 
0.000000, 2.000000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
55.033441, 1.900000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
108.710255, 1.800000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
161.069853, 1.700000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
212.155460, 1.600000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
262.014990, 1.500000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
310.702177, 1.400000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
358.278110, 1.300000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
404.813317, 1.200000, ,0.000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000,, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
